Rank;CCA3;Country/Territory;Capital;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (km²);Density (per km²);Growth Rate;World Population Percentage
155;TLS;Timor-Leste;Dili;Asia;1341296;1299995;1205813;1088486;878360;758106;642224;554021;14874;901.772;10.154;0.02
100;TGO;Togo;Lomé;Africa;8848699;8442580;7473229;6571855;5008035;3875947;2838110;2197383;56785;1.558.281;10.236;0.11
233;TKL;Tokelau;Nukunonu;Oceania;1871;1827;1454;1367;1666;1669;1647;1714;12;1.559.167;10.119;0
197;TON;Tonga;Nuku‘alofa;Oceania;106858;105254;106122;107383;102603;98727;96708;86484;747;1.430.495;10.079;0
153;TTO;Trinidad and Tobago;Port-of-Spain;North America;1531044;1518147;1460177;1410296;1332203;1266518;1127852;988890;5130;2.984.491;10.035;0.02
79;TUN;Tunisia;Tunis;Africa;12356117;12161723;11557779;10895063;9893316;8440023;6578156;5047404;163610;755.218;10.076;0.15
18;TUR;Turkey;Ankara;Asia;85341241;84135428;79646178;73195345;64113547;54324142;44089069;35540990;783562;1.089.145;10.067;1.07
111;TKM;Turkmenistan;Ashgabat;Asia;6430770;6250438;5766431;5267970;4569132;3720278;2862903;2201432;488100;131.751;1.014;0.08
212;TCA;Turks and Caicos Islands;Cockburn Town;North America;45703;44276;36538;29726;18744;11709;7598;5665;948;482.099;10.131;0
227;TUV;Tuvalu;Funafuti;Oceania;11312;11069;10877;10550;9638;9182;7731;5814;26;4.350.769;10.096;0
31;UGA;Uganda;Kampala;Africa;47249585;44404611;37477356;32341728;24020697;17586630;13284026;10317212;241550;195.61;10.304;0.59
38;UKR;Ukraine;Kiev;Europe;39701739;43909666;44982564;45683020;48879755;51589817;49973920;47279086;603500;657.858;0.912;0.5
97;ARE;United Arab Emirates;Abu Dhabi;Asia;9441129;9287289;8916899;8481771;3275333;1900151;1014048;298084;83600;1.129.322;10.081;0.12
21;GBR;United Kingdom;London;Europe;67508936;67059474;65224364;62760039;58850043;57210442;56326328;55650166;242900;2.779.289;10.034;0.85
3;USA;United States;Washington, D.C.;North America;338289857;335942003;324607776;311182845;282398554;248083732;223140018;200328340;9372610;360.935;10.038;4.24
200;VIR;United States Virgin Islands;Charlotte Amalie;North America;99465;100442;102803;106142;108185;100685;96640;63446;347;2.866.427;0.9937;0
133;URY;Uruguay;Montevideo;South America;3422794;3429086;3402818;3352651;3292224;3117012;2953750;2790265;181034;189.069;0.999;0.04
43;UZB;Uzbekistan;Tashkent;Asia;34627652;33526656;30949417;28614227;24925554;20579100;15947129;12011361;447400;773.975;1.016;0.43
181;VUT;Vanuatu;Port-Vila;Oceania;326740;311685;276438;245453;192074;150882;118156;87019;12189;268.061;10.238;0
234;VAT;Vatican City;Vatican City;Europe;510;520;564;596;651;700;733;752;1;510;0.998;0
51;VEN;Venezuela;Caracas;South America;28301696;28490453;30529716;28715022;24427729;19750579;15210443;11355475;916445;30.882;10.036;0.35
16;VNM;Vietnam;Hanoi;Asia;98186856;96648685;92191398;87411012;79001142;66912613;52968270;41928849;331212;2.964.472;10.074;1.23
226;WLF;Wallis and Futuna;Mata-Utu;Oceania;11572;11655;12182;13142;14723;13454;11315;9377;142;81.493;0.9953;0
172;ESH;Western Sahara;El Aaiún;Africa;575986;556048;491824;413296;270375;178529;116775;76371;266000;21.654;10.184;0.01
46;YEM;Yemen;Sanaa;Asia;33696614;32284046;28516545;24743946;18628700;13375121;9204938;6843607;527968;638.232;10.217;0.42
63;ZMB;Zambia;Lusaka;Africa;20017675;18927715;16248230;13792086;9891136;7686401;5720438;4281671;752612;265.976;1.028;0.25
74;ZWE;Zimbabwe;Harare;Africa;16320537;15669666;14154937;12839771;11834676;10113893;7049926;5202918;390757;417.665;10.204;0.2
